Composition,Ref,Density,Young_Modulus_ROM,Young_Modulus_Exp,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Testing_Temp,Yield_Strength,Specific_Strength
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,1200,105,16
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,1000,594,90.5
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,800,860,131
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,600,1060,161.4
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,400,1080,164.5
AlCrMoNbTi,[13],6.6,,,A,S,BCC,C,1200,150,22.8
AlCrMoNbTi,[13],6.6,,,A,S,BCC,C,1000,550,83.8
AlCrMoNbTi,[13],6.6,,,A,S,BCC,C,800,875,133.2
AlCrMoNbTi,[13],6.6,,,A,S,BCC,C,600,930,141.6
AlCrMoTi,[13],6,,,A,S,BCC,C,1200,100,16.7
AlCrMoTi,[13],6,,,A,S,BCC,C,1000,375,62.7
AlCrMoTi,[13],6,,,A,S,BCC,C,800,875,146.3
AlCrMoTi,[13],6,,,A,S,BCC,C,600,1020,170.5
AlCrMoTi,[13],6,,,A,S,BCC,C,400,1070,178.9
AlCrNbTiV,[11],5.8,,,A,M,BCC+Laves,C,RT,1550,269.2
AlCrNbTiV,[11],5.8,,,A,M,BCC+Laves,C,1000,65,11.3
AlCrNbTiV,[11],5.8,,,A,M,BCC+Laves,C,800,860,149.4
AlCrNbTiV,[11],5.8,,,A,M,BCC+Laves,C,600,1015,176.3
AlHfNbTaTiZr,[7],8.9,,103,AC,M,2 BCC,C,RT,1489,168
AlMo0.5NbTa0.5TiZr,[5],7.1,,122,HIP+A,M,BCC+B2,C,RT,2197,307.4
AlMo0.5NbTa0.5TiZr,[5],7.1,,70,HIP+A,M,BCC+B2,C,1000,745,104.2
AlMo0.5NbTa0.5TiZr,[8],7.1,,,HIP+A,M,BCC+B2,C,RT,2000,279.8
AlMo0.5NbTa0.5TiZr,[8],7.1,,,HIP+A,M,BCC+B2,C,1000,745,104.2
AlMo0.5NbTa0.5TiZr,[8],7.1,,,HIP+A,M,BCC+B2,C,800,1597,223.4
AlMo0.5NbTa0.5TiZr,[9],7.1,,178.6,HIP+A,M,BCC+B2,C,RT,2000,279.8
AlMo0.5NbTa0.5TiZr,[9],7.1,,27,HIP+A,M,BCC+B2,C,1200,250,35
AlMo0.5NbTa0.5TiZr,[9],7.1,,36,HIP+A,M,BCC+B2,C,1000,745,104.2
AlMo0.5NbTa0.5TiZr,[9],7.1,,80,HIP+A,M,BCC+B2,C,800,1597,223.4
AlMo0.5NbTa0.5TiZr,[14],7.1,,,HIP+A,M,BCC+B2,C,RT,2000,279.8
AlMo0.5NbTa0.5TiZr,[14],7.1,,,HIP+A,M,BCC+B2,C,1200,250,35
AlMo0.5NbTa0.5TiZr,[14],7.1,,,HIP+A,M,BCC+B2,C,1000,745,104.2
AlMo0.5NbTa0.5TiZr,[14],7.1,,,HIP+A,M,BCC+B2,C,800,1597,223.4
AlMo0.5NbTa0.5TiZr,[14],7.1,,,HIP+A,M,BCC+B2,C,600,1870,261.6
AlMo0.5NbTa0.5TiZr0.5,[5],7.2,,133,HIP+A,S,B2,C,RT,1320,-
AlMo0.5NbTa0.5TiZr0.5,[5],7.2,,76,HIP+A,S,B2,C,1000,935,129.1
AlMoNbTi,[13],6.5,,,A,S,BCC,C,1200,200,31
AlMoNbTi,[13],6.5,,,A,S,BCC,C,1000,540,83.6
AlMoNbTi,[13],6.5,,,A,S,BCC,C,800,500,77.4
AlMoNbTi,[13],6.5,,,A,S,BCC,C,600,520,80.5
AlMoNbTiV,[3],6.4,149.6,174.4 [57]/185.4 [58],AC,S,BCC,C,RT,1375,214.9
AlMoTaTiV,[6],8.2,165.8,,AC,S,BCC,C,RT,735,-
AlNb1.5Ta0.5Ti1.5Zr0.5,[8],6.8,105.7,,HIP+A,S,BCC,C,RT,1280,186.9
AlNb1.5Ta0.5Ti1.5Zr0.5,[8],6.8,,,HIP+A,S,BCC,C,1000,403,58.8
AlNb1.5Ta0.5Ti1.5Zr0.5,[8],6.8,,,HIP+A,S,BCC,C,800,728,106.3
AlNbTa0.5TiZr0.5,[5],6.9,,124,HIP+A,S,B2,C,RT,1352,195.3
AlNbTa0.5TiZr0.5,[5],6.9,,53,HIP+A,S,B2,C,1000,535,77.3
AlNbTaTiV,[4],7.9,121,101,AC,S,BCC,C,RT,991,125.6
AlNbTiV,[11],5.5,104.8,,A,S,BCC,C,RT,1000,181.9
AlNbTiV,[11],5.5,,,A,S,BCC,C,1000,110,20
AlNbTiV,[11],5.5,,,A,S,BCC,C,800,560,101.9
AlNbTiV,[11],5.5,,,A,S,BCC,C,600,780,141.9
AlNbTiV,[15],5.5,104.8,,A,S,BCC,C,RT,1020,185.6
AlNbTiV,[15],5.5,,,A,S,BCC,C,1000,158,28.7
AlNbTiV,[15],5.5,,,A,S,BCC,C,800,685,124.6
AlNbTiV,[15],5.5,,,A,S,BCC,C,600,810,147.4
AlNbTiV,[16],5.5,,,A,S,B2,C,RT,1000,181.9
AlNbTiV,[16],5.5,,,A,S,B2,C,800,560,101.9
AlNbTiV,[16],5.5,,,A,S,B2,C,600,780,141.9
AlNbTiVZr,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,RT,1500,260.4
AlNbTiVZr,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,800,550,95.5
AlNbTiVZr,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,600,1155,200.5
AlNbTiVZr0.1,[16],5.5,,,A,M,B2+Al3Zr5,C,RT,1290,233.2
AlNbTiVZr0.1,[16],5.5,,,A,M,B2+Al3Zr5,C,800,865,156.4
AlNbTiVZr0.1,[16],5.5,,,A,M,B2+Al3Zr5,C,600,975,176.3
AlNbTiVZr0.25,[16],5.6,,,A,M,B2+Al3Zr5,C,RT,1360,243.8
AlNbTiVZr0.25,[16],5.6,,,A,M,B2+Al3Zr5,C,800,855,153.3
AlNbTiVZr0.25,[16],5.6,,,A,M,B2+Al3Zr5,C,600,1065,190.9
AlNbTiVZr0.5,[16],5.6,,,A,M,B2+Al3Zr5+Laves,C,RT,1485,262.9
AlNbTiVZr0.5,[16],5.6,,,A,M,B2+Al3Zr5+Laves,C,800,675,119.5
AlNbTiVZr0.5,[16],5.6,,,A,M,B2+Al3Zr5+Laves,C,600,1135,200.9
AlNbTiVZr1.5,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,RT,1535,262.6
AlNbTiVZr1.5,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,800,180,30.8
AlNbTiVZr1.5,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,600,1195,204.4
Co.1Hf0.5Mo0.5NbTiZr,[17],7.8,,,AC,M,BCC+MC,C,RT,1183,151.5
Co.3Hf0.5Mo0.5NbTiZr,[17],7.7,,,AC,M,BCC+MC,C,RT,1201,156.2
CoCrMoNb,[18],8.8,,,AC,M,BCC+Laves,C,RT,1419.6,-
CoCrMoNbTi,[18],7.8,,,AC,M,BCC+Laves,C,RT,1096.8,-
CoCrMoNbTi0.2,[18],8.5,,,AC,M,BCC+Laves,C,RT,1905.6,-
CoCrMoNbTi0.4,[18],8.3,220.1,,AC,S,BCC,C,RT,1771.3,-
CoCrMoNbTi0.5,[18],8.2,,,AC,M,BCC+Laves,C,RT,1509.2,-
CrHfNbTiZr,[19],8.2,,112,A,M,BCC+Laves,C,RT,1457,176.9
CrHfNbTiZr,[19],8.2,,112,A,M,BCC+Laves,C,RT,1420,172.4
CrHfNbTiZr,[19],8.2,,112,AC,M,BCC+Laves,C,RT,1375,167
CrHfNbTiZr,[19],8.2,,112,A,M,BCC+Laves,C,RT,1328,161.3
CrHfNbTiZr,[19],8.2,,112,A,M,BCC+Laves,C,RT,1322,160.5
CrMo0.5NbTa0.5TiZr,[20],8,,,HIP+A,M,2 BCC+Laves,C,RT,1595,199.5
CrMo0.5NbTa0.5TiZr,[20],8,,,HIP+A,M,2 BCC+Laves,C,1200,170,21.3
CrMo0.5NbTa0.5TiZr,[20],8,,,HIP+A,M,2 BCC+Laves,C,1000,546,68.3
CrMo0.5NbTa0.5TiZr,[20],8,,,HIP+A,M,2 BCC+Laves,C,800,983,122.9
CrNbTiVZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,RT,1298,197.8
CrNbTiVZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,1000,259,39.5
CrNbTiVZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,800,615,93.7
CrNbTiVZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,600,1230,187.4
CrNbTiZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,RT,1260,189.5
CrNbTiZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,1000,115,17.3
CrNbTiZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,800,300,45.1
CrNbTiZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,600,1035,155.7
CrTaTi0.17VW,[22],12.6,,,SPS,M,BCC+Laves,C,RT,2034,161
CrTaTi0.17VW,[22],12.6,,,SPS,M,BCC+Laves,C,1200,750,59.4
CrTaTi0.3VW,[22],12.3,,,SPS,M,BCC+Laves,C,RT,2050,166.1
CrTaTi0.3VW,[22],12.3,,,SPS,M,BCC+Laves,C,1200,586,47.5
CrTaVW,[22],13,,,SPS,M,BCC+Laves,C,RT,2327,178.5
CrTaVW,[22],13,,,SPS,M,BCC+Laves,C,1200,979,75.1
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64,[23],10.4,125,79,AC,S,BCC,C,RT,822,79.1
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64,[23],10.4,,,AC,S,BCC,C,300,590,56.8
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64,[23],10.4,,,AC,S,BCC,C,200,650,62.6
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64,[23],10.4,,,AC,S,BCC,C,100,765,73.7
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64,[23],10.4,,,AC,S,BCC,C,60,795,76.5
Hf0.5Mo0.5NbSi0.1TiZr,[24],7.7,,,AC,M,BCC+M5Si3,C,RT,1350,174.6
Hf0.5Mo0.5NbSi0.3TiZr,[24],7.5,,,AC,M,BCC+M5Si3,C,RT,1370,183.3
Hf0.5Mo0.5NbSi0.5TiZr,[24],7.2,,,AC,M,BCC+M5Si3,C,RT,1600,221
Hf0.5Mo0.5NbSi0.7TiZr,[24],7,,,AC,M,BCC+M5Si3,C,RT,1550,220.6
Hf0.5Mo0.5NbSi0.9TiZr,[24],6.8,,,AC,M,BCC+M5Si3,C,RT,1650,241.5
Hf0.5Mo0.5NbTiZr,[17],7.9,123.1,,AC,S,BCC,C,RT,1176,149.4
Hf0.5Mo0.5NbTiZr,[24],7.9,123.1,,AC,S,BCC,C,RT,1150,146.1
Hf0.5Nb0.5Ta0.5Ti1.5Zr,[25],8.2,106.6,,AC,S,BCC,C,RT,903,110.3
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,103.1,78,CR,S,BCC,C,RT,1150,136.7
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,103.1,78,CR,S,BCC,C,RT,1100,130.8
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,103.1,80,CR+A,S,BCC,C,RT,890,105.8
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,72,1040,123.7
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,72,1020,121.3
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80,CR+A,S,BCC,C,72,640,76.1
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,43,1200,142.7
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,43,1180,140.3
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80,CR+A,S,BCC,C,43,1020,121.3
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,103,1380,164.1
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,103,1370,162.9
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80,CR+A,S,BCC,C,103,1250,148.6
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,153,1640,195
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,153,1550,184.3
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80,CR+A,S,BCC,C,153,1370,162.9
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80,CR+A,S,BCC,C,196,1920,228.3
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,196,1880,223.5
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,196,1750,208.1
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80,CR+A,S,BCC,C,268.8,2390,284.2
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,268.8,2250,267.5
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,78,CR,S,BCC,C,268.8,2210,262.8
HfMo0.25NbTa1TiZr,[27],9.9,121,96,AC,S,BCC,C,RT,1112,112.2
HfMo0.5NbSi0.3TiV0.5,[28],8.5,,,AC,M,BCC+M5Si3,C,RT,1617,191
HfMo0.5NbSi0.3TiV0.5,[28],8.5,,,AC,M,BCC+M5Si3,C,1200,166,19.6
HfMo0.5NbSi0.3TiV0.5,[28],8.5,,,AC,M,BCC+M5Si3,C,1000,398,47
HfMo0.5NbSi0.5TiV0.5,[28],8.2,,,AC,M,BCC+M5Si3,C,RT,1787,218.7
HfMo0.5NbSi0.5TiV0.5,[28],8.2,,,AC,M,BCC+M5Si3,C,1200,188,23
HfMo0.5NbSi0.5TiV0.5,[28],8.2,,,AC,M,BCC+M5Si3,C,1000,614,75.2
HfMo0.5NbSi0.7TiV0.5,[28],7.9,,,AC,M,BCC+M5Si3,C,RT,2134,270.1
HfMo0.5NbSi0.7TiV0.5,[28],7.9,,,AC,M,BCC+M5Si3,C,1200,235,29.7
HfMo0.5NbSi0.7TiV0.5,[28],7.9,,,AC,M,BCC+M5Si3,C,1000,673,85.2
HfMo0.5NbTaTiZr,[27],9.9,130.5,102,AC,S,BCC,C,RT,1317,132.8
HfMo0.5NbTiV0.5,[28],9,131.9,,AC,S,BCC,C,RT,1260,140.4
HfMo0.5NbTiV0.5,[28],9,,,AC,S,BCC,C,1200,60,6.7
HfMo0.5NbTiV0.5,[28],9,,,AC,S,BCC,C,1000,368,41
HfMo0.75NbTa1TiZr,[27],9.9,139.1,109,AC,S,BCC,C,RT,1373,138.3
HfMoNbTaTiZr,[27],9.9,147,(115)/136.6 [58],AC,S,BCC,C,RT,1512,152.1
HfMoNbTaTiZr,[29],9.9,147,136.6 [58],AC,S,BCC,C,RT,1512,152.1
HfMoNbTaTiZr,[29],9.9,,,AC,S,BCC,C,1200,556,55.9
HfMoNbTaTiZr,[29],9.9,,,AC,S,BCC,C,1000,814,81.9
HfMoNbTaTiZr,[29],9.9,,,AC,S,BCC,C,800,1007,101.3
HfMoNbTiZr,[30],8.7,139.2,,AC,S,BCC,C,RT,1719,197.9
HfMoNbTiZr,[30],8.7,139.2,,A,S,BCC,C,RT,1575,181.3
HfMoNbTiZr,[30],8.7,,,AC,S,BCC,C,1200,187,21.5
HfMoNbTiZr,[30],8.7,,,AC,S,BCC,C,1100,397,45.7
HfMoNbTiZr,[30],8.7,,,AC,S,BCC,C,1000,635,73.1
HfMoNbTiZr,[30],8.7,,,AC,S,BCC,C,900,728,83.8
HfMoNbTiZr,[30],8.7,,,AC,S,BCC,C,800,825,95
HfMoTaTiZr,[29],10.2,155.4,,AC,S,BCC,C,RT,1600,157
HfMoTaTiZr,[29],10.2,,,AC,S,BCC,C,1200,404,39.6
HfMoTaTiZr,[29],10.2,,,AC,S,BCC,C,1000,855,83.9
HfMoTaTiZr,[29],10.2,,,AC,S,BCC,C,800,1045,102.5
HfNb0.18Ta0.18Ti1.27Zr,[31],8.5,95.2,79,CR+A,S,BCC,T,RT,540,63.8
HfNbSi0.5TiV,[32],7.8,,,AC,M,BCC+M5Si3,C,RT,1399,179.3
HfNbSi0.5TiV,[32],7.8,,,AC,M,BCC+M5Si3,C,1000,240,30.8
HfNbSi0.5TiV,[33],7.8,,,AC,M,BCC+M5Si3,C,800,875,112.2
HfNbSi0.5TiVZr,[33],7.5,,,AC,M,BCC+Laves+M5Si3,C,RT,1540,204.9
HfNbSi0.5TiVZr,[33],7.5,,,A,M,BCC+Laves+M5Si3,C,RT,1483,197.4
HfNbSi0.5TiVZr,[33],7.5,,,AC,M,BCC+Laves+M5Si3,C,800,371,49.4
HfNbSi0.5TiVZr,[33],7.5,,,A,M,BCC+Laves+M5Si3,C,800,102,13.6
HfNbSi0.5TiVZr,[33],7.5,,,AC,M,BCC+Laves+M5Si3,C,600,920,122.4
HfNbSi0.5TiVZr,[33],7.5,,,A,M,BCC+Laves+M5Si3,C,600,597,79.4
HfNbSi0.5TiVZr,[33],7.5,,,A,M,BCC+Laves+M5Si3,C,400,1273,169.4
HfNbTaTiZr,[7],9.9,110.6,(55)/88.9 [58]/104.1 [19],AC,S,BCC,C,RT,1073,108.4
HfNbTaTiZr,[27],9.9,110.6,(85)/88.9 [58]/104.1 [19],AC,S,BCC,C,RT,1015,102.6
HfNbTaTiZr,[34],9.9,,,SPD+A,M,BCC+HCP,T,RT,1520,153.6
HfNbTaTiZr,[34],9.9,,,SPD+A,M,2 BCC+HCP,T,RT,795,80.4
HfNbTaTiZr,[34],9.9,110.6,88.9 [58]/104.1 [19],SPD,S,BCC,T,RT,1900,192
HfNbTaTiZr,[34],9.9,110.6,88.9 [58]/104.1 [19],CR+A,S,BCC,T,RT,830,83.9
HfNbTaTiZr,[35],9.9,,100,CR+A,M,2 BCC,T,RT,1303,131.7
HfNbTaTiZr,[35],9.9,110.6,(93.3)/88.9 [58]/104.1 [19],CR,S,BCC,T,RT,1202,121.5
HfNbTaTiZr,[35],9.9,110.6,(99.2)/88.9 [58]/104.1 [19],CR+A,S,BCC,T,RT,1145,115.7
HfNbTaTiZr,[36],9.9,110.6,(81.0)/88.9 [58]/104.1 [19],CR+A,S,BCC,T,RT,958,96.8
HfNbTaTiZr,[36],9.9,110.6,(81.0)/88.9 [58]/104.1 [19],CR+A,S,BCC,T,RT,944,95.4
HfNbTaTiZr,[36],9.9,110.6,(81.0)/88.9 [58]/104.1 [19],CR+A,S,BCC,T,RT,940,95
HfNbTaTiZr,[37],9.9,110.6,(92.0)/88.9 [58]/104.1 [19],CR+A,S,BCC,T,RT,940,95
HfNbTaTiZr,[38],9.9,110.6,88.9 [58]/104.1 [19],HIP+A,S,BCC,C,RT,929,93.9
HfNbTaTiZr,[39],9.9,110.6,88.9 [58]/104.1 [19],AC,S,BCC,C,RT,905,91.5
HfNbTaTiZr,[40],9.9,110.6,88.9 [58]/104.1 [19],AC,S,BCC,C,RT,890,90
HfNbTaTiZr,[41],9.9,110.6,88.9 [58]/104.1 [19],AC,S,BCC,T,RT,828,83.7
HfNbTaTiZr,[41],9.9,110.6,88.9 [58]/104.1 [19],AC,S,BCC,T,RT,827,83.6
HfNbTaTiZr,[41],9.9,110.6,88.9 [58]/104.1 [19],AC,S,BCC,T,RT,820,82.9
HfNbTaTiZr,[41],9.9,110.6,88.9 [58]/104.1 [19],AC,S,BCC,T,RT,803,81.2
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,1200,92,9.3
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,1000,295,29.8
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,800,535,54.1
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,800,475,48
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,800,285,28.8
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,600,675,68.2
HfNbTaTiZr,[42],9.9,,,HIP+A,S,BCC,C,400,790,79.8
HfNbTaZr,[43],11.1,,,A,M,BCC+HCP,C,RT,2310,208.8
HfNbTaZr,[43],11.1,,,A,M,BCC+HCP,C,RT,2100,189.8
HfNbTaZr,[43],11.1,,,A,M,BCC+HCP,C,RT,2020,182.6
HfNbTaZr,[43],11.1,,,A,M,BCC+HCP,C,RT,1950,176.3
HfNbTaZr,[43],11.1,109.3,,AC,S,BCC,C,RT,1315,118.9
HfNbTiVZr,[19],8.1,,128,A,M,BCC+Laves,C,RT,1157,143.5
HfNbTiVZr,[19],8.1,,128,AC,M,BCC+unknown,C,RT,1170,145.2
HfNbTiVZr,[19],8.1,99,(128.0)/95.0 [19],A,S,BCC,C,RT,1253,155.5
HfNbTiVZr,[19],8.1,99,(128.0)/95.0 [19],A,S,BCC,C,RT,1140,141.4
HfNbTiVZr,[19],8.1,99,(128.0)/95.0 [19],A,S,BCC,C,RT,1120,139
HfNbTiZr,[44],8.4,91.8,,A,S,BCC,T,RT,879,104.8
HfTa0.4TiZr,[45],9.2,,,AC,M,BCC+HCP,T,RT,400,43.5
HfTa0.5TiZr,[45],9.4,,,AC,M,BCC+HCP,T,RT,700,74.7
HfTa0.6TiZr,[45],9.6,,,AC,M,BCC+HCP,T,RT,800,83.7
HfTaTiZr,[45],10.2,112,,AC,S,BCC,T,RT,1500,147.3
Mo0.1NbTiV0.3Zr,[46],6.6,106,,AC,S,BCC,C,RT,932,141.2
Mo0.3NbTiV0.3Zr,[46],6.8,118.4,,AC,S,BCC,C,RT,1312,193.9
Mo0.3NbTiVZr,[46],6.7,119.9,,AC,S,BCC,C,RT,1289,192.8
Mo0.5NbTiV0.3Zr,[46],6.9,129.4,,AC,S,BCC,C,RT,1301,188
Mo0.5NbTiVZr,[46],6.8,129.2,,AC,S,BCC,C,RT,1473,215.9
Mo0.7NbTiV0.3Zr,[46],7.1,139.4,,AC,S,BCC,C,RT,1436,203.4
Mo0.7NbTiVZr,[46],7,137.7,,AC,S,BCC,C,RT,1706,245.5
Mo1.3NbTiV0.3Zr,[46],7.4,164.2,,AC,S,BCC,C,RT,1603,216.2
Mo1.3NbTiVZr,[46],7.3,159.4,,AC,S,BCC,C,RT,1496,205.5
Mo1.5NbTiV0.3Zr,[46],7.5,171,,AC,S,BCC,C,RT,1576,209.7
Mo1.5NbTiVZr,[46],7.4,,,AC,M,2 BCC,C,RT,1603,217.3
Mo1.7NbTiVZr,[46],7.5,,,AC,M,2 BCC,C,RT,1645,220.4
Mo2NbTiVZr,[46],7.6,,,AC,M,2 BCC,C,RT,1765,232.6
