Composition	Ref	Density	Young_Modulus_ROM	Young_Modulus_Exp	Equilibrium_Conditions	Single_Multiphase	Type_Present_Phases	Tension_Compression	Testing_Temp	Yield_Strength	Specific_Strength	Equilibrium_Conditions_encoded	Single_Multiphase_encoded	Type_Present_Phases_encoded	Tension_Compression_encoded
Co.1Hf0.5Mo0.5NbTiZr	[17]	7.8			AC	M	BCC+MC	C	25	1183	151.5	1	0	12	0
Co.3Hf0.5Mo0.5NbTiZr	[17]	7.7			AC	M	BCC+MC	C	25	1201	156.2	1	0	12	0
CoCrMoNb	[18]	8.8			AC	M	BCC+Laves	C	25	1419.6		1	0	9	0
CoCrMoNbTi	[18]	7.8			AC	M	BCC+Laves	C	25	1096.8		1	0	9	0
CoCrMoNbTi0.2	[18]	8.5			AC	M	BCC+Laves	C	25	1905.6		1	0	9	0
CoCrMoNbTi0.4	[18]	8.3	220.1		AC	S	BCC	C	25	1771.3		1	1	6	0
CoCrMoNbTi0.5	[18]	8.2			AC	M	BCC+Laves	C	25	1509.2		1	0	9	0
CrHfNbTiZr	[19]	8.2		112	A	M	BCC+Laves	C	25	1457	176.9	0	0	9	0
CrMo0.5NbTa0.5TiZr	[20]	8			HIP+A	M	2 BCC+Laves	C	25	1595	199.5	3	0	1	0
CrNbTiVZr	[21]	6.6			HIP+A	M	BCC+Laves	C	25	1298	197.8	3	0	9	0
CrNbTiZr	[21]	6.6			HIP+A	M	BCC+Laves	C	25	1260	189.5	3	0	9	0
CrTaTi0.17VW	[22]	12.6			SPS	M	BCC+Laves	C	25	2034	161	5	0	9	0
CrTaTi0.3VW	[22]	12.3			SPS	M	BCC+Laves	C	25	2050	166.1	5	0	9	0
CrTaVW	[22]	13			SPS	M	BCC+Laves	C	25	2327	178.5	5	0	9	0
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64	[23]	10.4	125	79	AC	S	BCC	C	25	822	79.1	1	1	6	0
Hf0.5Mo0.5NbSi0.1TiZr	[24]	7.7			AC	M	BCC+M5Si3	C	25	1350	174.6	1	0	11	0
Hf0.5Mo0.5NbSi0.3TiZr	[24]	7.5			AC	M	BCC+M5Si3	C	25	1370	183.3	1	0	11	0
Hf0.5Mo0.5NbSi0.5TiZr	[24]	7.2			AC	M	BCC+M5Si3	C	25	1600	221	1	0	11	0
Hf0.5Mo0.5NbSi0.7TiZr	[24]	7			AC	M	BCC+M5Si3	C	25	1550	220.6	1	0	11	0
Hf0.5Mo0.5NbSi0.9TiZr	[24]	6.8			AC	M	BCC+M5Si3	C	25	1650	241.5	1	0	11	0
Hf0.5Mo0.5NbTiZr	[17]	7.9	123.1		AC	S	BCC	C	25	1176	149.4	1	1	6	0
Hf0.5Nb0.5Ta0.5Ti1.5Zr	[25]	8.2	106.6		AC	S	BCC	C	25	903	110.3	1	1	6	0
Hf0.75NbTa0.5Ti1.5Zr1.25	[26]	8.4		80	CR+A	S	BCC	C	268.8	2390	284.2	2	1	6	0
HfMo0.25NbTa1TiZr	[27]	9.9	121	96	AC	S	BCC	C	25	1112	112.2	1	1	6	0
HfMo0.5NbSi0.3TiV0.5	[28]	8.5			AC	M	BCC+M5Si3	C	25	1617	191	1	0	11	0
HfMo0.5NbSi0.5TiV0.5	[28]	8.2			AC	M	BCC+M5Si3	C	25	1787	218.7	1	0	11	0
HfMo0.5NbSi0.7TiV0.5	[28]	7.9			AC	M	BCC+M5Si3	C	25	2134	270.1	1	0	11	0
HfMo0.5NbTaTiZr	[27]	9.9	130.5	102	AC	S	BCC	C	25	1317	132.8	1	1	6	0
HfMo0.5NbTiV0.5	[28]	9	131.9		AC	S	BCC	C	25	1260	140.4	1	1	6	0
HfMo0.75NbTa1TiZr	[27]	9.9	139.1	109	AC	S	BCC	C	25	1373	138.3	1	1	6	0
HfMoNbTaTiZr	[27]	9.9	147	115	AC	S	BCC	C	25	1512	152.1	1	1	6	0
HfMoNbTiZr	[30]	8.7	139.2		AC	S	BCC	C	25	1719	197.9	1	1	6	0
HfMoTaTiZr	[29]	10.2	155.4		AC	S	BCC	C	25	1600	157	1	1	6	0
HfNb0.18Ta0.18Ti1.27Zr	[31]	8.5	95.2	79	CR+A	S	BCC	T	25	540	63.8	2	1	6	1
HfNbSi0.5TiV	[32]	7.8			AC	M	BCC+M5Si3	C	25	1399	179.3	1	0	11	0
HfNbSi0.5TiVZr	[33]	7.5			AC	M	BCC+Laves+M5Si3	C	25	1540	204.9	1	0	10	0
HfNbTaTiZr	[34]	9.9	110.6	88.9	SPD	S	BCC	T	25	1900	192	4	1	6	1
HfNbTaZr	[43]	11.1			A	M	BCC+HCP	C	25	2310	208.8	0	0	8	0
HfNbTiVZr	[19]	8.1	99	128	A	S	BCC	C	25	1253	155.5	0	1	6	0
HfNbTiZr	[44]	8.4	91.8		A	S	BCC	T	25	879	104.8	0	1	6	1
HfTa0.4TiZr	[45]	9.2			AC	M	BCC+HCP	T	25	400	43.5	1	0	8	1
HfTa0.5TiZr	[45]	9.4			AC	M	BCC+HCP	T	25	700	74.7	1	0	8	1
HfTa0.6TiZr	[45]	9.6			AC	M	BCC+HCP	T	25	800	83.7	1	0	8	1
HfTaTiZr	[45]	10.2	112		AC	S	BCC	T	25	1500	147.3	1	1	6	1
Mo0.1NbTiV0.3Zr	[46]	6.6	106		AC	S	BCC	C	25	932	141.2	1	1	6	0
Mo0.3NbTiV0.3Zr	[46]	6.8	118.4		AC	S	BCC	C	25	1312	193.9	1	1	6	0
Mo0.3NbTiVZr	[46]	6.7	119.9		AC	S	BCC	C	25	1289	192.8	1	1	6	0
Mo0.5NbTiV0.3Zr	[46]	6.9	129.4		AC	S	BCC	C	25	1301	188	1	1	6	0
Mo0.5NbTiVZr	[46]	6.8	129.2		AC	S	BCC	C	25	1473	215.9	1	1	6	0
Mo0.7NbTiV0.3Zr	[46]	7.1	139.4		AC	S	BCC	C	25	1436	203.4	1	1	6	0
Mo0.7NbTiVZr	[46]	7	137.7		AC	S	BCC	C	25	1706	245.5	1	1	6	0
Mo1.3NbTiV0.3Zr	[46]	7.4	164.2		AC	S	BCC	C	25	1603	216.2	1	1	6	0
Mo1.3NbTiVZr	[46]	7.3	159.4		AC	S	BCC	C	25	1496	205.5	1	1	6	0
Mo1.5NbTiV0.3Zr	[46]	7.5	171		AC	S	BCC	C	25	1576	209.7	1	1	6	0
Mo1.5NbTiVZr	[46]	7.4			AC	M	2 BCC	C	25	1603	217.3	1	0	0	0
Mo1.7NbTiVZr	[46]	7.5			AC	M	2 BCC	C	25	1645	220.4	1	0	0	0
Mo2NbTiVZr	[46]	7.6			AC	M	2 BCC	C	25	1765	232.6	1	0	0	0
MoNbTaTi0.25W	[47]	13.1	249.4		AC	S	BCC	C	25	1109	84.7	1	1	6	0
MoNbTaTi0.5W	[47]	12.6	242		AC	S	BCC	C	25	1211	96.1	1	1	6	0
MoNbTaTi0.75W	[47]	12.2	235.4		AC	S	BCC	C	25	1304	107.3	1	1	6	0
MoNbTaTiV	[48]	9.4	172.8	130.5	AC	S	BCC	C	25	1400	149.4	1	1	6	0
MoNbTaTiVW	[49]	11	212.5	164	AC	S	BCC	C	25	1515	138.1	1	1	6	0
MoNbTaTiW	[47]	11.8	229.4		AC	S	BCC	C	25	1455	123.8	1	1	6	0
MoNbTaTiZr	[50]	9.1		153	AC	M	2 BCC	C	25	1390	152.2	1	0	0	0
MoNbTaV	[52]	10.7	187		AC	S	BCC	C	25	1525	142.7	1	1	6	0
MoNbTaVW	[53]	12.4	231.8	204.5	SPS	S	BCC	C	25	2612	211	5	1	6	0
MoNbTaW	[54]	13.7	257.8	220	HIP+A	S	BCC	C	25	1058	77.5	3	1	6	0
MoNbTiV	[3]	7.3	169.5	161.1	AC	S	BCC	C	25	1200	163.4	1	1	6	0
MoNbTiV0.25Zr	[55]	7.3	152.9	141.6	AC	S	BCC	C	25	1750	241.2	1	1	6	0
MoNbTiV0.3Zr	[46]	7.2	152.7		AC	S	BCC	C	25	1455	200.8	1	1	6	0
MoNbTiV0.5Zr	[55]	7.2	151.6	141.7	AC	S	BCC	C	25	1640	227.5	1	1	6	0
MoNbTiV0.75Zr	[55]	7.2	150.3	141.5	AC	S	BCC	C	25	1680	234.5	1	1	6	0
MoNbTiV1.5Zr	[55]	7.1			AC	M	2 BCC	C	25	1720	243.9	1	0	0	0
MoNbTiV2Zr	[55]	7			AC	M	2 BCC	C	25	1520	217.5	1	0	0	0
MoNbTiV3Zr	[55]	6.9			AC	M	2 BCC	C	25	1415	205.5	1	0	0	0
MoNbTiVZr	[46]	7.1	149.2	139.5	AC	S	BCC	C	25	1779	249.7	1	1	6	0
MoNbTiZr	[55]	7.3	154.5	140.1	AC	S	BCC	C	25	1560	213.4	1	1	6	0
MoTaTiV	[6]	9.6	189.8		AC	S	BCC	C	25	1221	127.4	1	1	6	0
NbTaTiV	[4]	9.2	133.8	108	AC	S	BCC	C	25	1092	119.1	1	1	6	0
NbTaTiVW	[56]	11.1	189.2	257.3	AC	S	BCC	C	25	1420	127.9	1	1	6	0
NbTaVW	[56]	12.9	207.5		AC	S	BCC	C	25	1530	118.7	1	1	6	0
NbTiV0.3Zr	[46]	6.5	99.2		AC	S	BCC	C	25	866	133	1	1	6	0
NbTiV2Zr	[21]	6.4			HIP+A	M	3 BCC	C	25	918	143.3	3	0	2	0
NbTiVZr	[21]	6.5			HIP+A	M	2 BCC	C	25	1105	171.1	3	0	0	0
